日付,ドル
2018/11/19,112.54
2018/11/20,112.75
2018/11/21,113.05
2018/11/22,112.93
2018/11/23,112.94
2018/11/26,113.59
2018/11/27,113.77
2018/11/28,113.68
2018/11/29,113.47
2018/11/30,113.46
2018/12/3,113.65
2018/12/4,112.77
2018/12/5,113.19
2018/12/6,112.66
2018/12/7,112.72
2018/12/10,113.33
2018/12/11,113.37
2018/12/12,113.27
2018/12/13,113.62
2018/12/14,113.37
2018/12/17,112.82
2018/12/18,112.51
2018/12/19,112.47
2018/12/20,111.28
2018/12/21,111.21
2018/12/24,110.43
2018/12/25,110.27
2018/12/26,111.35
2018/12/27,110.99
2018/12/28,110.26
2018/12/31,109.56
