年月,BC,CI,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
2006年5月,1,105.1 ,111.9,106.5,130.8,100.7,122.9,0,4.5,132558,1.07,119.7
2006年6月,1,105.5 ,113.3,108.7,129.2,101.1,126.2,0.1,1.7,132519,1.07,118
2006年7月,1,105.7 ,113.7,109.5,130.9,99.4,123.7,-0.2,2.3,134682,1.08,118.8
2006年8月,1,106.0 ,114.1,111,132,101,122.4,0.8,3,136845,1.07,118.6
2006年9月,1,105.5 ,114.1,109.9,131.2,101.2,123.1,0.5,0,139008,1.07,119.6
2006年10月,1,105.9 ,115,110,130.8,101.1,125.2,-0.2,4,139941,1.06,119.4
2006年11月,1,106.1 ,115.4,110.9,135.4,100.9,124.3,-0.4,1.1,140874,1.06,119.8
2006年12月,1,105.9 ,115.7,111.4,133.8,101.1,124,-0.3,-0.8,141807,1.06,120.8
2007年1月,1,105.9 ,114.4,110.7,134,101.1,124.9,-1,-0.3,143947,1.06,124.3
2007年2月,1,106.3 ,115.1,111,134.1,101.2,126.3,-0.2,0.2,146088,1.05,117.3
2007年3月,1,105.7 ,115.1,111.5,133.4,101.3,120.1,-0.6,-2,148228,1.05,118.9
2007年4月,1,106.5 ,114.6,111.5,133.6,100.7,123.1,0.1,2.3,145578,1.07,122.2
2007年5月,1,106.8 ,115.9,112.3,135.4,103.3,124.9,0.8,4.6,142928,1.07,122.7
2007年6月,1,106.5 ,116,112.6,138.2,101.3,124.4,0.3,2.8,140278,1.07,123.7
2007年7月,1,105.6 ,116.1,112.8,129.3,100.9,125.6,-1.5,3.8,139619,1.06,122.1
2007年8月,1,106.3 ,119.1,115.3,147,101.8,124.8,1.2,2,138960,1.05,125.9
2007年9月,1,105.1 ,117.2,114.6,139.8,99,122.9,1.2,0.1,138301,1.03,124.9
2007年10月,1,105.7 ,119.4,117.3,142.8,101.5,123.1,1.5,4.6,136453,1.01,128.6
2007年11月,1,104.6 ,117.7,115.6,142.3,104.1,121.9,2.1,4,134604,0.98,128
2007年12月,1,104.6 ,118.5,117.2,145.5,100.5,122.9,0.8,2.4,132756,0.98,130.3
2008年1月,1,104.3 ,119.1,116.6,147.4,99.6,120.6,1.9,4.4,131552,0.97,131
2008年2月,1,104.7 ,119.4,116.9,145,102.8,120.5,3.5,6.4,130348,0.96,128.8
2008年3月,0,103.7 ,118.3,116.2,144.5,100.4,119.9,1.6,2,129144,0.96,131.3
2008年4月,0,102.8 ,117.6,113.5,145.2,100.5,118.5,-0.1,5.6,128581,0.96,127.9
2008年5月,0,102.8 ,118.2,113.6,142.1,103,123.3,0.3,4.9,128018,0.95,128.6
2008年6月,0,100.3 ,114.9,110.4,134.5,99.7,116.5,0.3,4.9,127455,0.92,126.3
2008年7月,0,99.6 ,114.7,110.5,133.8,101.4,113.9,2.1,11,120984,0.89,127.7
2008年8月,0,96.2 ,110.7,105.9,127.9,98.7,111.5,0.7,3.3,114513,0.86,126.8
2008年9月,0,95.4 ,112,106.3,126.8,99.5,111.3,-0.3,3.9,108042,0.83,124.7
2008年10月,0,92.4 ,109.3,102.7,121.4,101.8,110,-0.6,-1.7,90487,0.79,117.3
2008年11月,0,87.0 ,102,93.3,113.4,98,103.1,-0.7,-11.3,72933,0.75,102.5
2008年12月,0,81.7 ,93.6,83.8,102.1,97.7,98.2,-2.6,-14.3,55378,0.71,91.9
2009年1月,0,75.4 ,85.3,74.2,84.7,97.6,94.6,-2,-20.3,43458,0.64,75.8
2009年2月,0,70.0 ,78,69,81.8,96.1,88.3,-5.4,-26.7,31537,0.57,73.5
2009年3月,0,69.3 ,79,71.6,82.5,94.6,87.3,-3.6,-29.4,19617,0.52,78.2
2009年4月,1,70.4 ,82.5,76,82.7,96.4,79.6,-2.7,-28.2,30566,0.49,82
